"inventory_id","part_num","color_id","quantity"
21,"3009",7,50
25,"21019c00pat004pr1033",15,1
25,"24629pr0002",78,1
25,"24634pr0001",5,1
25,"24782pr0001",5,1
25,"88646",0,1
25,"973pr3314c01",5,1
26,"14226c11",0,3
26,"2340px2",15,1
26,"2340px3",15,1
26,"2412b",7,2
26,"2421",0,1
26,"2432",4,1
26,"2437",33,1
26,"2446",15,2
26,"2447",41,1
26,"2454a",15,1
26,"2460",7,1
26,"2479",0,1
26,"2486",4,1
26,"2493b",0,2
26,"2540",4,4
26,"2547",8,1
26,"2548",8,1
26,"2569",0,3
26,"2610",14,3
26,"298c02",4,2
26,"3001",15,1
26,"3001",7,5
26,"3003",2,1
26,"3003",15,2
26,"3003",14,2
26,"3004",0,3
26,"3006",14,1
26,"3007",7,6
26,"3008",15,3
26,"30086",14,1
26,"30089a",0,1
26,"3008pb034",14,2
26,"30090",33,1
26,"30091",15,1
26,"3010",0,1
26,"30151a",47,1
26,"30162",0,1
26,"30179",15,1
26,"30180",15,3
26,"30181",1,2
26,"30183",0,1
26,"30185c02pb01",1,1
26,"30187a",14,1
26,"30189",14,1
26,"30190",15,1
26,"30191",7,1
26,"3020",14,1
26,"30235",0,1
26,"30237a",15,2
26,"30237a",1,2
26,"30237a",14,1
26,"30248",7,1
26,"30249",15,4
26,"30250pr04",14,1
26,"30251",33,1
26,"30254",1,1
26,"30256",15,1
26,"30257",15,2
26,"30258pb007",15,1
26,"30261px6",15,1
26,"30322",1,3
26,"30338",6,1
26,"30339",2,1
26,"30340",25,5
26,"30343c01",15,1
26,"3037",4,2
26,"3037pc0",14,1
26,"3037pr0005",14,1
26,"3037px11",7,1
26,"3039",36,1
26,"3039",34,1
26,"3039",15,1
26,"3039pr0005",15,1
26,"3040b",0,1
26,"3040b",33,2
26,"3062b",15,1
26,"3068bpx143",15,1
26,"3069bp02",7,2
26,"3069bp52",15,1
26,"3127",7,1
26,"32084",15,1
26,"32086",33,1
26,"3460",1,2
26,"3460",0,2
26,"3626bp02",14,2
26,"3626bp03",14,1
26,"3626bp06",14,1
26,"3626bpb0004",33,1
26,"3626bpb0110",14,2
26,"3794a",0,3
26,"3829c01",4,1
26,"3832",15,1
26,"3867",2,1
26,"3901",0,1
26,"3962b",0,1
26,"4032a",2,1
26,"4079",4,1
26,"4083",4,1
26,"4151a",0,1
26,"4162",0,1
26,"4175",0,4
26,"4289",15,1
26,"4485",1,1
26,"4488",7,1
26,"4495a",4,1
26,"4495a",2,1
26,"4533",15,1
26,"4595",0,1
26,"4599a",15,1
26,"4623",7,7
26,"4714",15,1
26,"51595p01",2,1
26,"6014a",15,6
26,"6015",0,7
26,"6019",0,1
26,"6020",14,1
26,"6091",7,1
26,"6093",0,1
26,"6140",4,2
26,"6141",42,3
26,"6141",36,7
26,"6141",34,2
26,"6160c03",1,1
26,"6212",1,1
26,"6228a",7,1
26,"71610pb02",7,1
26,"76041c04",1,1
26,"892pb11",15,2
26,"92410",1,1
26,"970c00",0,4
26,"970x026",14,1
26,"973pb0237c01",1,3
26,"973pb0264c01",1,2
26,"973pb0265c01",1,1
28,"2340",15,4
28,"2357",15,4
28,"2412b",15,3
28,"2412b",4,2
28,"2431",72,1
28,"2431",4,2
28,"2432",1,1
28,"2437",40,2
28,"2445",15,2
28,"2446",15,1
28,"2447",40,1
28,"2447",40,1
28,"2460",72,1
28,"2479",0,1
28,"2483",40,1
28,"2555",0,1
28,"2569",72,1
28,"2569",72,2
28,"2610",14,1
28,"2654",46,1
28,"298c02",15,1
28,"298c02",15,2
28,"3002",1,4
28,"30031",0,1
28,"3004",15,6
28,"3004",0,1
28,"3005",15,4
28,"30055",0,4
28,"3008",15,1
28,"3009",15,2
28,"30162",72,3
28,"3020",72,1
28,"3020",0,2
28,"3023",72,2
28,"30237a",15,2
28,"30248",0,1
28,"3032",15,1
28,"3034",0,2
28,"3034",15,1
28,"3035",15,1
28,"30359b",0,2
28,"3036",15,1
28,"30361c",72,1
28,"30363",15,3
28,"3039pr0001",15,1
28,"3039pr0002",15,1
28,"3040b",15,2
28,"30592",72,1
28,"3069b",33,2
28,"3069b",15,1
28,"3070b",36,1
28,"3070b",34,1
28,"3070b",34,1
28,"3070b",36,1
28,"3245b",15,4
28,"3624",15,1
28,"3626bpr0126",14,1
28,"3626bpr0282",14,1
28,"3626bpr0410",14,1
28,"3633",0,2
28,"3660",15,2
28,"3665",15,2
28,"3678b",15,2
28,"3710",1,1
28,"3749",19,1
28,"3794a",1,3
28,"3795",14,2
28,"3829c01",1,1
28,"3900",15,1
28,"3937",71,1
28,"3938",0,1
28,"3939",40,2
28,"3941",15,1
28,"3962b",0,2
28,"4079",1,2
28,"4081b",1,1
28,"41334",0,1
28,"4162",72,2
28,"41767",15,1
28,"41768",15,1
28,"42022",15,4
28,"4289",15,1
28,"43093",1,1
28,"4315",15,1
28,"43337",40,4
28,"43337",4,2
28,"43337",15,2
28,"43722",15,1
28,"43723",15,1
28,"44126",15,2
28,"44661",15,1
28,"44675",71,2
28,"44728",15,2
28,"4477",15,2
28,"4599a",71,2
28,"4617b",0,1
28,"4733",0,1
28,"48064c02",25,1
28,"4865a",14,4
28,"50304",15,1
28,"50305",15,1
28,"54100",0,1
28,"54101",71,1
28,"54200",33,6
28,"6087",15,1
28,"6140",15,4
28,"6141",1,2
28,"6141",1,5
28,"6141",46,2
28,"6141",36,2
28,"6141",34,1
28,"6141",34,1
28,"6141",46,3
28,"6141",36,2
28,"6231",4,2
28,"6553",72,1
28,"970c00",72,1
28,"970c00",0,2
28,"973pr1186c01",0,1
28,"973pr1188c01",0,1
28,"973pr1197c01",15,1
33,"2340",4,2
33,"2413",15,2
33,"2420",4,4
33,"2421",0,4
33,"2431",15,1
33,"2431",4,1
33,"2437",41,1
33,"3002",0,1
33,"3004",15,2
33,"3005",15,6
33,"3020",4,1
33,"3020",15,4
33,"3021",4,1
33,"3021",15,3
33,"3022",4,2
33,"3023",4,3
33,"3023",15,2
33,"3024",4,2
33,"3024",15,2
33,"3030",15,1
33,"3034",15,1
33,"3037",15,2
33,"3039pc4",0,1
33,"3040b",15,2
33,"3068bp52",15,1
33,"3069b",4,2
33,"3069b",15,2
33,"3139",0,6
33,"3460",15,2
33,"3624",0,1
33,"3626apr0001",14,3
33,"3660",4,2
33,"3660",15,3
33,"3665",15,2
33,"3665",4,2
33,"3666",4,3
33,"3666",15,2
33,"3676",15,2
33,"3679",7,1
33,"3680",15,1
33,"3710",15,3
33,"3710",4,2
33,"3901",0,1
33,"4161",15,2
33,"4162",4,2
33,"4282",15,1
33,"4282",4,1
33,"4477",15,2
33,"4477",4,1
33,"4488",4,4
33,"4530",0,1
33,"4624",7,6
33,"4625",15,2
33,"4714",15,1
33,"4715",15,2
33,"4854",15,3
33,"4855",15,1
33,"4857",15,2
33,"4858",15,1
33,"4859",15,1
33,"4859",4,1
33,"4861",15,2
33,"4862",41,4
33,"4863",15,2
33,"4864a",15,6
33,"4864ap02",15,2
33,"4865a",15,2
33,"4865a",41,2
33,"4870",7,3
33,"6141",34,1
33,"6141",36,2
33,"6141",34,1
33,"73983",4,2
33,"970c00",7,1
33,"970c00",4,1
33,"970c00",0,1
33,"973c07",1,1
33,"973p24c01",15,1
33,"973px189c01",0,1
38,"12825",14,9
38,"14226c11",0,1
38,"2357",14,8
38,"2456",19,1
38,"2456",2,1
38,"2456",15,2
38,"2542",70,2
38,"3001",2,16
38,"3001",19,1
38,"3001",70,3
38,"3001",27,8
38,"3001",4,2
38,"3001",15,9
38,"3002",19,5
38,"3002",2,2
38,"3002",4,2
38,"3002",70,1
38,"3002",15,6
38,"3003",28,2
38,"3003",14,7
38,"3003",2,14
38,"3003",27,8
38,"3003",4,2
38,"3003",70,14
38,"3003",1,1
38,"3003",19,8
38,"3004",19,4
38,"3004",72,3
38,"3004",26,127
38,"3004",0,4
38,"3004",29,1
38,"3004",70,44
38,"3004",4,9
38,"3004",27,10
38,"3004",15,50
38,"3004",73,4
38,"3004",2,40
38,"3004",25,8
38,"30044",15,2
38,"30046",297,2
38,"3004pr0001",14,6
38,"3004pr0002",14,6
38,"3005",182,28
38,"3005",114,20
38,"3005",27,10
38,"3005",25,4
38,"3005",4,6
38,"3005",70,5
38,"3005",29,114
38,"3005pr0003",15,2
38,"3005pr0003",14,2
38,"3006",15,4
38,"3007",14,1
38,"3009",19,3
38,"3009",4,3
38,"3009",25,2
38,"3010",4,10
38,"3010",15,2
38,"3010",25,2
38,"30115",2,2
38,"30115",4,2
38,"30136",70,4
38,"30137",70,4
38,"30150",70,2
38,"30153",36,2
38,"30153",34,2
38,"30153",41,2
38,"30153",45,2
38,"30153",47,2
38,"30176",2,5
38,"3020",4,2
38,"3020",15,1
38,"3021",4,2
38,"3021",25,2
38,"3021",72,1
38,"3022",70,3
38,"3022",4,6
38,"3022",0,2
38,"3022",15,1
38,"3023",0,4
38,"3023",4,3
38,"3023",33,7
38,"3023",72,6
38,"3023",1,6
38,"3023",14,5
38,"3023",15,10
38,"30238",0,3
38,"3024",4,2
38,"3029",1,7
38,"3030",72,2
38,"3031",70,1
38,"3031",19,3
38,"3031",14,1
38,"3031",15,4
38,"3032",4,4
38,"3032",70,1
38,"3033",72,1
38,"3034",4,2
38,"3034",19,2
38,"3035",70,3
38,"3035",1,2
38,"3036",70,2
38,"30367b",4,3
38,"30374",19,3
38,"30385",42,1
38,"30385",82,1
38,"30385",36,1
38,"3039",2,3
38,"3039",1,3
38,"3039",4,4
38,"3039",15,18
38,"3039",26,2
38,"3039",72,1
38,"3039",70,19
38,"3039",25,6
38,"3039",14,3
38,"3040b",29,2
38,"3040b",70,4
38,"3040b",2,2
38,"3040b",4,8
38,"30414",4,1
38,"3045",14,4
38,"3048c",297,10
